Cena;Data dodania;Lokalizacja;Na sprzedaż przez;Rodzaj nieruchomości;Liczba pokoi;Liczba łazienek;Wielkość (m2);Parking
920000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;3 pokoje;;78;
922000;22/04/2020;Praga Południe, Warszawa;Agencja;Mieszkanie;2 pokoje;;55;
1100000;22/04/2020;Ochota, Warszawa;Agencja;Mieszkanie;3 pokoje;;85;
468000;22/04/2020;Mokotów, Warszawa;Właściciel;Mieszkanie;2 pokoje;1 łazienka;48;
1055000;22/04/2020;Ursynów, Warszawa;Agencja;Mieszkanie;3 pokoje;;105;Garaż
1309000;22/04/2020;Mokotów, Warszawa;Agencja;Mieszkanie;4 pokoje;;155;
1230000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;3 pokoje;;67;
1305000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;2 pokoje;;62;
999000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;2 pokoje;;52;
805800;22/04/2020;Praga Południe, Warszawa;Agencja;Mieszkanie;Kawalerka lub garsoniera;;65;
793000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;2 pokoje;;53;
735000;22/04/2020;Ursus, Warszawa;Agencja;Mieszkanie;4 pokoje;;85;
917000;22/04/2020;Wilanów, Warszawa;Agencja;Mieszkanie;3 pokoje;;94;
680000;22/04/2020;Ursus, Warszawa;Agencja;Mieszkanie;3 pokoje;;77;
670000;22/04/2020;Białołęka, Warszawa;Agencja;Mieszkanie;4 pokoje;;104;
588000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;2 pokoje;;47;
677320;09/04/2020;Wola, Warszawa;Właściciel;Mieszkanie;2 pokoje;1 łazienka;57;Garaż
1113600;13/04/2020;Praga Północ, Warszawa;Właściciel;Mieszkanie;4 pokoje;2 łazienki;96;Kryty
540000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;2 pokoje;;50;
1673000;22/04/2020;Mokotów, Warszawa;Agencja;Mieszkanie;4 pokoje;;118;
699000;22/04/2020;Praga Południe, Warszawa;Agencja;Mieszkanie;2 pokoje;;55;
590000;22/04/2020;Wola, Warszawa;Właściciel;Mieszkanie;2 pokoje;1 łazienka;46;Garaż
919000;22/04/2020;Wilanów, Warszawa;Agencja;Mieszkanie;3 pokoje;1 łazienka;103;Garaż
828400;22/04/2020;Praga Południe, Warszawa;Agencja;Mieszkanie;3 pokoje;;76;
580000;22/04/2020;Praga Południe, Warszawa;Agencja;Mieszkanie;3 pokoje;;49;
669999;22/04/2020;Bemowo, Warszawa;Agencja;Mieszkanie;3 pokoje;;60;
590000;22/04/2020;Praga Południe, Warszawa;Agencja;Mieszkanie;2 pokoje;;59;Ulica
910000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;3 pokoje;;62;
630000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;3 pokoje;;62;Ulica
375000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;Kawalerka lub garsoniera;;25;
439000;22/04/2020;Bemowo, Warszawa;Agencja;Mieszkanie;2 pokoje;;46;Ulica
520000;22/04/2020;Targówek, Warszawa;Agencja;Mieszkanie;3 pokoje;;61;
620000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;2 pokoje;;49;Ulica
1400000;22/04/2020;Praga Północ, Warszawa;Agencja;Mieszkanie;4 pokoje;;141;
935000;22/04/2020;Bemowo, Warszawa;Agencja;Mieszkanie;4 pokoje;;94;Ulica
925000;22/04/2020;Targówek, Warszawa;Agencja;Mieszkanie;5 pokoi;;118;
588000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;2 pokoje;;47;Ulica
990000;22/04/2020;Bemowo, Warszawa;Agencja;Mieszkanie;4 pokoje;;89;Garaż
345000;15/04/2020;Praga Południe, Warszawa;Właściciel;Mieszkanie;Kawalerka lub garsoniera;1 łazienka;27;Ulica
440000;01/03/2020;Bielany, Warszawa;Właściciel;Mieszkanie;3 pokoje;1 łazienka;56;Brak
295000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;Kawalerka lub garsoniera;;19;Brak
635000;22/04/2020;Mokotów, Warszawa;Agencja;Mieszkanie;3 pokoje;;65;Ulica
629000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;3 pokoje;;62;
530000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;2 pokoje;;45;Ulica
1840000;22/04/2020;Żoliborz, Warszawa;Agencja;Mieszkanie;6 lub więcej pokoi;;200;
620000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;4 pokoje;;64;Garaż
560000;22/04/2020;Bielany, Warszawa;Agencja;Mieszkanie;2 pokoje;;55;
550000;22/04/2020;Bemowo, Warszawa;Agencja;Mieszkanie;2 pokoje;;57;Garaż
539000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;3 pokoje;;46;Ulica
460000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;2 pokoje;;41;
585000;22/04/2020;Mokotów, Warszawa;Agencja;Mieszkanie;3 pokoje;;49;
1150000;22/04/2020;Bemowo, Warszawa;Agencja;Mieszkanie;4 pokoje;;143;
959000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;3 pokoje;;84;
559000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;2 pokoje;;43;
512000;22/04/2020;Białołęka, Warszawa;Agencja;Mieszkanie;3 pokoje;;63;
1550000;22/04/2020;Ochota, Warszawa;Agencja;Mieszkanie;4 pokoje;;119;
526000;22/04/2020;Targówek, Warszawa;Agencja;Mieszkanie;3 pokoje;;53;
495000;22/04/2020;Włochy, Warszawa;Agencja;Mieszkanie;2 pokoje;;40;
1070000;22/04/2020;Mokotów, Warszawa;Agencja;Mieszkanie;3 pokoje;;93;
1330000;22/04/2020;Ochota, Warszawa;Agencja;Mieszkanie;4 pokoje;;138;
1836000;22/04/2020;Praga Południe, Warszawa;Agencja;Mieszkanie;6 lub więcej pokoi;2 łazienki;204;
529380;22/04/2020;Praga Południe, Warszawa;Agencja;Mieszkanie;3 pokoje;;59;
709000;22/04/2020;Bemowo, Warszawa;Agencja;Mieszkanie;3 pokoje;;85;
630000;22/04/2020;Praga Południe, Warszawa;Agencja;Mieszkanie;3 pokoje;;70;
655000;22/04/2020;Wilanów, Warszawa;Agencja;Mieszkanie;2 pokoje;;64;Brak
596000;22/04/2020;Bielany, Warszawa;Agencja;Mieszkanie;4 pokoje;;65;
975000;22/04/2020;Mokotów, Warszawa;Agencja;Mieszkanie;3 pokoje;;82;
720000;22/04/2020;Mokotów, Warszawa;Agencja;Mieszkanie;2 pokoje;;61;
624000;22/04/2020;Ursus, Warszawa;Agencja;Mieszkanie;2 pokoje;;60;
574000;22/04/2020;Praga Południe, Warszawa;Agencja;Mieszkanie;3 pokoje;;55;
499000;22/04/2020;Targówek, Warszawa;Agencja;Mieszkanie;4 pokoje;;60;
650000;22/04/2020;Praga Południe, Warszawa;Agencja;Mieszkanie;2 pokoje;;50;
2823000;22/04/2020;Żoliborz, Warszawa;Agencja;Mieszkanie;4 pokoje;;115;
554000;22/04/2020;Bielany, Warszawa;Agencja;Mieszkanie;3 pokoje;;57;
665000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;2 pokoje;;55;
1230000;22/04/2020;Mokotów, Warszawa;Agencja;Mieszkanie;3 pokoje;;77;
474500;22/04/2020;Ursus, Warszawa;Agencja;Mieszkanie;2 pokoje;;55;
732000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;2 pokoje;;41;
505000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;2 pokoje;;48;
1140000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;4 pokoje;;84;
520000;14/02/2020;Wola, Warszawa;Właściciel;Mieszkanie;Kawalerka lub garsoniera;1 łazienka;35;Ulica
1014000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;3 pokoje;;70;
2750000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;5 pokoi;1 łazienka;170;
770000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;3 pokoje;;83;
780000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;2 pokoje;;54;
380000;22/04/2020;Praga Północ, Warszawa;Agencja;Mieszkanie;Kawalerka lub garsoniera;;32;
1724500;22/04/2020;Mokotów, Warszawa;Agencja;Mieszkanie;5 pokoi;;160;Garaż
597000;22/04/2020;Ochota, Warszawa;Agencja;Mieszkanie;3 pokoje;1 łazienka;47;Ulica
592800;22/04/2020;Mokotów, Warszawa;Agencja;Mieszkanie;3 pokoje;;59;
465000;22/04/2020;Białołęka, Warszawa;Agencja;Mieszkanie;2 pokoje;;51;
580500;22/04/2020;Białołęka, Warszawa;Agencja;Mieszkanie;3 pokoje;;68;
634500;22/04/2020;Mokotów, Warszawa;Agencja;Mieszkanie;3 pokoje;;47;
519000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;3 pokoje;;48;
569000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;Kawalerka lub garsoniera;;43;
359000;22/04/2020;Praga Południe, Warszawa;Agencja;Mieszkanie;Kawalerka lub garsoniera;;37;
589000;22/04/2020;Ursynów, Warszawa;Agencja;Mieszkanie;3 pokoje;;63;
579000;22/04/2020;Mokotów, Warszawa;Agencja;Mieszkanie;2 pokoje;;50;
530000;22/04/2020;Ursus, Warszawa;Agencja;Mieszkanie;3 pokoje;;55;Ulica
990000;22/04/2020;Włochy, Warszawa;Agencja;Mieszkanie;3 pokoje;;110;
536000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;3 pokoje;;49;
850000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;2 pokoje;;50;
299000;04/04/2020;Wola, Warszawa;Właściciel;Mieszkanie;Kawalerka lub garsoniera;1 łazienka;17;Ulica
569000;20/04/2020;Śródmieście, Warszawa;Właściciel;Mieszkanie;2 pokoje;;39;
1019000;02/03/2020;Białołęka, Warszawa;Właściciel;Dom;6 lub więcej pokoi;3 łazienki;184;Garaż
1010000;22/04/2020;Praga Południe, Warszawa;Agencja;Mieszkanie;2 pokoje;;51;
780000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;2 pokoje;;50;
495000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;2 pokoje;;39;
1900000;22/04/2020;Bielany, Warszawa;Agencja;Mieszkanie;3 pokoje;;132;
867000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;3 pokoje;;73;
969000;22/04/2020;Praga Południe, Warszawa;Agencja;Mieszkanie;4 pokoje;;75;
685000;22/04/2020;Bielany, Warszawa;Agencja;Mieszkanie;3 pokoje;;57;
1950000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;3 pokoje;;103;
2264000;22/04/2020;Mokotów, Warszawa;Agencja;Mieszkanie;5 pokoi;;142;
725000;22/04/2020;Mokotów, Warszawa;Agencja;Mieszkanie;4 pokoje;;82;
670000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;3 pokoje;;60;
370000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;Kawalerka lub garsoniera;;28;
549000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;2 pokoje;;44;
680000;22/04/2020;Wilanów, Warszawa;Agencja;Mieszkanie;2 pokoje;;53;
720000;22/04/2020;Praga Południe, Warszawa;Agencja;Mieszkanie;3 pokoje;;66;
563750;22/04/2020;Bemowo, Warszawa;Agencja;Mieszkanie;3 pokoje;;73;
309000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;Kawalerka lub garsoniera;;20;
655000;22/04/2020;Wawer, Warszawa;Agencja;Mieszkanie;4 pokoje;2 łazienki;79;
561000;22/04/2020;Mokotów, Warszawa;Agencja;Mieszkanie;2 pokoje;;42;
420000;22/04/2020;Białołęka, Warszawa;Agencja;Mieszkanie;2 pokoje;;49;
628534;11/04/2020;Praga Południe, Warszawa;Właściciel;Mieszkanie;3 pokoje;2 łazienki;58;Ulica
1085500;22/04/2020;Wawer, Warszawa;Agencja;Mieszkanie;4 pokoje;2 łazienki;123;
800000;22/04/2020;Mokotów, Warszawa;Agencja;Mieszkanie;3 pokoje;;70;
1249000;22/04/2020;Ochota, Warszawa;Agencja;Mieszkanie;4 pokoje;2 łazienki;104;
950000;22/04/2020;Włochy, Warszawa;Agencja;Mieszkanie;3 pokoje;;101;Garaż
460000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;2 pokoje;;41;Ulica
600000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;3 pokoje;;45;
425000;22/04/2020;Targówek, Warszawa;Agencja;Mieszkanie;2 pokoje;;36;Ulica
480000;22/04/2020;Praga Południe, Warszawa;Agencja;Mieszkanie;3 pokoje;;54;
699000;22/04/2020;Ursynów, Warszawa;Agencja;Mieszkanie;3 pokoje;;63;Ulica
458000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;2 pokoje;;33;
960000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;4 pokoje;;82;Garaż
1199000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;4 pokoje;;103;
529000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;2 pokoje;;46;Ulica
816000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;2 pokoje;;55;
845000;22/04/2020;Mokotów, Warszawa;Agencja;Mieszkanie;3 pokoje;;80;Garaż
969000;22/04/2020;Wilanów, Warszawa;Agencja;Mieszkanie;4 pokoje;;102;
619000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;3 pokoje;;58;Garaż
370000;22/04/2020;Białołęka, Warszawa;Agencja;Mieszkanie;2 pokoje;;45;
680000;22/04/2020;Mokotów, Warszawa;Agencja;Mieszkanie;2 pokoje;;54;Ulica
539000;22/04/2020;Bemowo, Warszawa;Agencja;Mieszkanie;3 pokoje;;63;Ulica
480000;22/04/2020;Praga Południe, Warszawa;Agencja;Mieszkanie;2 pokoje;;49;
730000;22/04/2020;Bemowo, Warszawa;Agencja;Mieszkanie;4 pokoje;;77;Ulica
439000;22/04/2020;Targówek, Warszawa;Agencja;Mieszkanie;3 pokoje;;54;
615000;22/04/2020;Praga Południe, Warszawa;Agencja;Mieszkanie;3 pokoje;;69;Ulica
635000;22/04/2020;Praga Południe, Warszawa;Agencja;Mieszkanie;3 pokoje;;79;
1160000;22/04/2020;Ochota, Warszawa;Agencja;Mieszkanie;3 pokoje;;83;Garaż
1250000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;3 pokoje;;84;
519000;22/04/2020;Ochota, Warszawa;Agencja;Mieszkanie;3 pokoje;;50;Ulica
530000;22/04/2020;Mokotów, Warszawa;Agencja;Mieszkanie;3 pokoje;;51;Ulica
1928500;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;3 pokoje;;117;
575000;22/04/2020;Mokotów, Warszawa;Agencja;Mieszkanie;3 pokoje;;56;Ulica
620000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;2 pokoje;;43;
515000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;4 pokoje;;58;
624000;22/04/2020;Ursynów, Warszawa;Agencja;Mieszkanie;3 pokoje;;62;Ulica
655000;22/04/2020;Bielany, Warszawa;Agencja;Mieszkanie;3 pokoje;;65;
750000;22/04/2020;Bielany, Warszawa;Agencja;Mieszkanie;2 pokoje;;70;Garaż
790000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;2 pokoje;;54;
729000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;3 pokoje;;47;Ulica
549000;17/12/2019;Żoliborz, Warszawa;Właściciel;Mieszkanie;2 pokoje;1 łazienka;51;Garaż
599000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;2 pokoje;;48;Ulica
653000;22/04/2020;Bemowo, Warszawa;Agencja;Mieszkanie;2 pokoje;;54;
850000;22/04/2020;Bemowo, Warszawa;Agencja;Mieszkanie;3 pokoje;;79;Garaż
670000;22/04/2020;Praga Południe, Warszawa;Agencja;Mieszkanie;3 pokoje;;72;
650000;22/04/2020;Bielany, Warszawa;Agencja;Mieszkanie;3 pokoje;;65;Ulica
852000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;3 pokoje;;73;
438000;22/04/2020;Bielany, Warszawa;Agencja;Mieszkanie;2 pokoje;;41;Ulica
660000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;2 pokoje;;43;
490000;22/04/2020;Bemowo, Warszawa;Agencja;Mieszkanie;3 pokoje;;51;Ulica
561000;22/04/2020;Praga Południe, Warszawa;Agencja;Mieszkanie;2 pokoje;;51;
750000;22/04/2020;Bemowo, Warszawa;Agencja;Mieszkanie;3 pokoje;;103;Garaż
285000;22/04/2020;Ursus, Warszawa;Agencja;Mieszkanie;2 pokoje;1 łazienka;32;Ulica
990000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;3 pokoje;;72;
498000;22/04/2020;Bemowo, Warszawa;Agencja;Mieszkanie;2 pokoje;;51;Ulica
612000;22/04/2020;Ursynów, Warszawa;Agencja;Mieszkanie;2 pokoje;;57;
385000;22/04/2020;Targówek, Warszawa;Agencja;Mieszkanie;3 pokoje;;48;
430000;22/04/2020;Białołęka, Warszawa;Agencja;Mieszkanie;2 pokoje;;54;
425000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;2 pokoje;;29;
496000;22/04/2020;Włochy, Warszawa;Agencja;Mieszkanie;3 pokoje;;48;
999000;22/04/2020;Ochota, Warszawa;Agencja;Mieszkanie;3 pokoje;;61;
435000;17/04/2020;Bemowo, Warszawa;Właściciel;Mieszkanie;2 pokoje;1 łazienka;47;Ulica
585000;22/04/2020;Bemowo, Warszawa;Agencja;Mieszkanie;3 pokoje;;75;
555000;22/04/2020;Praga Południe, Warszawa;Agencja;Mieszkanie;3 pokoje;;64;
595000;22/04/2020;Praga Południe, Warszawa;Agencja;Mieszkanie;2 pokoje;;58;
435000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;Kawalerka lub garsoniera;;28;Brak
695000;22/04/2020;Bemowo, Warszawa;Agencja;Mieszkanie;3 pokoje;;74;
445000;22/04/2020;Mokotów, Warszawa;Agencja;Mieszkanie;2 pokoje;;50;
710000;22/04/2020;Praga Południe, Warszawa;Agencja;Dom;4 pokoje;1 łazienka;110;Garaż
620000;22/04/2020;Ursynów, Warszawa;Agencja;;3 pokoje;1 łazienka;79;Garaż
320000;22/04/2020;Bielany, Warszawa;Agencja;Mieszkanie;Kawalerka lub garsoniera;;25;
524000;22/04/2020;Ursynów, Warszawa;Agencja;Mieszkanie;2 pokoje;;53;
2100000;22/04/2020;Praga Południe, Warszawa;Właściciel;Dom;6 lub więcej pokoi;4 lub więcej łazienek;370;Kryty
1587888;22/04/2020;Mokotów, Warszawa;Agencja;Mieszkanie;3 pokoje;;85;
1300000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;3 pokoje;;81;
535000;22/04/2020;Praga Południe, Warszawa;Agencja;Mieszkanie;2 pokoje;;61;
830000;22/04/2020;Bemowo, Warszawa;Agencja;Mieszkanie;3 pokoje;;72;
540000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;2 pokoje;;36;
630000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;2 pokoje;;35;
842000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;2 pokoje;;70;
1200000;22/04/2020;Włochy, Warszawa;Agencja;Dom;4 pokoje;;173;
950000;22/04/2020;Żoliborz, Warszawa;Agencja;Mieszkanie;3 pokoje;;75;
11000;22/04/2020;Ursus, Warszawa;Właściciel;Mieszkanie;2 pokoje;1 łazienka;40;Garaż
825872;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;3 pokoje;;59;
680000;22/04/2020;Mokotów, Warszawa;Agencja;Mieszkanie;2 pokoje;;54;
580000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;3 pokoje;;57;
299000;22/04/2020;Wawer, Warszawa;Właściciel;Mieszkanie;Kawalerka lub garsoniera;;27;
1720000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;3 pokoje;;90;
599000;22/04/2020;Żoliborz, Warszawa;Agencja;Mieszkanie;2 pokoje;;41;
520000;22/04/2020;Żoliborz, Warszawa;Agencja;Mieszkanie;2 pokoje;;47;
930000;22/04/2020;Żoliborz, Warszawa;Agencja;Mieszkanie;3 pokoje;;77;
1200000;22/04/2020;Bemowo, Warszawa;Agencja;Mieszkanie;5 pokoi;;142;
700000;22/04/2020;Bemowo, Warszawa;Agencja;Mieszkanie;3 pokoje;;63;
380000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;2 pokoje;;28;
379000;22/04/2020;Wawer, Warszawa;Właściciel;Mieszkanie;2 pokoje;1 łazienka;37;
570000;22/04/2020;Bemowo, Warszawa;Agencja;Mieszkanie;2 pokoje;;54;
1500000;19/06/2019;Mokotów, Warszawa;Agencja;Mieszkanie;3 pokoje;1 łazienka;94;Garaż
1450000;17/06/2019;Wola, Warszawa;Agencja;Mieszkanie;3 pokoje;1 łazienka;122;
477000;23/03/2020;Ochota, Warszawa;Właściciel;Mieszkanie;2 pokoje;1 łazienka;39;Ulica
660000;12/04/2020;Wesoła, Warszawa;Właściciel;Mieszkanie;4 pokoje;2 łazienki;120;Garaż
545000;22/03/2020;Bielany, Warszawa;Właściciel;Mieszkanie;4 pokoje;1 łazienka;74;
490000;22/04/2020;Wilanów, Warszawa;Właściciel;Mieszkanie;2 pokoje;1 łazienka;40;Garaż
400000;22/04/2020;Targówek, Warszawa;Agencja;Mieszkanie;3 pokoje;2 łazienki;47;Brak
235000;22/04/2020;Białołęka, Warszawa;Agencja;Mieszkanie;Kawalerka lub garsoniera;1 łazienka;36;
868000;22/04/2020;Żoliborz, Warszawa;Właściciel;Mieszkanie;3 pokoje;1 łazienka;62;Garaż
198000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;Kawalerka lub garsoniera;;26;Garaż
198000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;Kawalerka lub garsoniera;;26;Garaż
580000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;3 pokoje;;55;
425000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;2 pokoje;;38;
450000;22/04/2020;Praga Południe, Warszawa;Agencja;Mieszkanie;3 pokoje;1 łazienka;62;
775000;22/04/2020;Włochy, Warszawa;Agencja;Mieszkanie;3 pokoje;2 łazienki;83;Garaż
517330;22/04/2020;Wola, Warszawa;Właściciel;Mieszkanie;2 pokoje;1 łazienka;41;Brak
530000;22/04/2020;Wawer, Warszawa;Agencja;Mieszkanie;3 pokoje;1 łazienka;72;Ulica
810000;22/04/2020;Mokotów, Warszawa;Agencja;Mieszkanie;2 pokoje;1 łazienka;67;Garaż
529000;22/04/2020;Ursynów, Warszawa;Agencja;Mieszkanie;2 pokoje;1 łazienka;38;Garaż
780000;22/04/2020;Mokotów, Warszawa;Agencja;Mieszkanie;3 pokoje;1 łazienka;76;Garaż
780000;22/04/2020;Mokotów, Warszawa;Agencja;Mieszkanie;3 pokoje;1 łazienka;76;Garaż
520000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;2 pokoje;1 łazienka;36;
